# {"t_start": 1574930205.0712144, "env_id": "Walker2d-v2"} 
r,l,t
-0.855895,22,1.782312
1.224861,14,1.804273
-1.579218,17,1.830662
1.749598,15,1.853796
-1.668513,15,1.876986
3.135062,31,1.92394
-0.428675,8,1.936018
-1.963698,10,1.951083
-1.821724,10,1.966071
-5.066943,12,1.98416
6.306494,26,2.02273
-3.53983,14,2.043252
-6.408819,22,2.075755
-5.032552,21,2.106609
-0.008496,12,2.124309
-3.37571,8,2.13618
-2.222434,24,2.170847
-4.711456,24,2.205523
-5.756572,26,2.243388
3.89319,26,2.281094
-3.800248,16,2.30479
3.448445,31,2.350022
5.64185,16,2.373605
-7.375784,11,2.38994
-6.862799,21,2.420694
-5.22956,8,2.432617
-4.851744,15,2.454426
-1.945321,13,2.473559
-3.242722,8,2.485662
0.804022,12,2.503227
-11.512401,18,2.529481
-3.328957,10,2.544238
4.045583,19,2.571785
-4.30755,12,2.589587
5.27664,34,2.639136
9.83864,25,2.675505
-7.99894,14,2.696069
-4.923131,17,2.720782
-3.608911,12,2.738621
-6.722957,23,2.772281
-1.275874,10,2.787116
-5.195047,18,2.813864
-11.192737,14,2.834179
-2.041859,10,2.848997
0.042071,30,2.892431
-1.66521,10,2.907112
1.041362,13,2.926315
2.135095,20,2.955639
-6.318506,14,2.976255
-0.978349,11,2.992157
-4.340908,25,3.02846
-1.81012,18,3.054913
-6.337555,15,3.076557
-5.141794,15,3.098608
-2.147411,21,3.129405
1.353516,15,3.15146
0.351252,31,3.196714
-2.864933,11,3.213051
-3.26878,8,3.224998
-1.801043,14,3.245551
-1.071432,23,3.279453
-4.070898,17,3.304542
1.769352,14,3.324995
-3.259958,18,3.351443
-1.846026,13,3.370134
-2.737256,12,3.387438
-5.661592,20,3.415571
-2.643154,12,3.43273
-5.325281,18,3.458061
-7.50788,26,3.494902
-2.020766,20,3.52347
-3.339119,22,3.554628
-7.86773,20,3.582894
-3.518058,17,3.60702
-1.772927,12,3.623881
0.055649,14,3.643644
-3.862374,12,3.660695
-3.74606,11,3.676489
-6.739486,26,3.713104
3.992677,19,3.740001
2.93103,12,3.75691
0.227459,21,3.786693
-3.338011,9,3.799572
-4.01007,9,3.812427
-3.588436,22,3.84343
-6.316853,20,3.871914
-2.754173,11,3.887694
2.363312,14,3.907416
-0.108751,18,3.933107
-0.202204,12,3.950178
0.215913,13,3.968621
0.86758,18,3.994077
-3.231985,11,4.009672
-6.18735,23,4.042117
0.739336,13,4.060622
-5.474231,14,4.080366
-2.90387,19,4.107217
-5.190119,20,4.135593
-3.229321,14,4.155365
-5.510337,25,4.190624
-2.772813,17,4.214731
-2.287668,11,4.230545
-1.375466,9,4.243297
-3.482191,20,4.271605
-1.641879,8,4.282876
-0.579728,25,4.318189
3.997728,30,4.360308
-0.312121,14,4.380297
-5.520189,17,4.404339
-1.144713,9,4.416956
-9.47526,17,4.441032
-3.757992,23,4.473588
-3.03784,15,4.494872
-8.650844,20,4.522998
-1.629041,9,4.535732
-1.456177,20,4.564192
-2.599304,17,4.588216
0.940424,19,4.615169
-2.139146,15,4.636589
-0.706535,9,4.649241
-1.204486,9,4.662024
-1.16305,11,4.677376
-2.784223,23,4.709985
-9.140003,20,6.579045
-5.522779,25,6.615717
11.897881,41,6.675726
4.299074,28,6.716463
-2.18422,10,6.731208
6.726527,24,6.766217
-6.623194,13,6.78527
-5.930088,11,6.8016
-0.973237,14,6.822029
1.849222,23,6.855427
3.204035,19,6.883367
-5.343802,23,6.916834
-1.290075,19,6.944514
-3.573903,12,6.961862
-4.775103,13,6.980831
-5.186828,17,7.005769
-0.663867,12,7.023397
5.967804,21,7.053615
-6.678801,16,7.076864
7.650519,23,7.110576
-6.036152,24,7.145867
-0.541281,13,7.165079
-0.214123,12,7.182576
-3.053192,9,7.195996
1.17459,22,7.228199
3.028926,16,7.2516
8.064335,36,7.304195
-4.038145,25,7.340837
-4.73487,18,7.367171
-6.27442,18,7.393325
-3.501698,14,7.413924
2.796394,19,7.441941
-10.668896,18,7.468128
-2.065772,13,7.487308
-3.420424,18,7.513578
-2.352445,11,7.529828
-5.735838,18,7.556223
-2.69245,13,7.575442
-3.354317,22,7.607508
-0.883508,31,7.652586
-1.631699,21,7.683282
3.675928,20,7.712591
-8.811473,23,7.746169
-5.756615,18,7.772676
1.127169,15,7.794872
-6.526522,16,7.818638
5.199206,30,7.862879
-4.478635,9,7.876108
2.453444,21,7.906758
-0.967529,13,7.925835
-2.206495,15,7.947459
-1.454186,18,7.974008
-0.991955,10,7.988688
0.786872,14,8.009491
1.527735,19,8.037215
-0.882637,12,8.054744
-2.497887,28,8.095524
4.444471,27,8.135498
-6.10004,22,8.16753
1.285895,19,8.195408
-0.547872,12,8.213341
5.374491,22,8.244919
3.241841,14,8.264748
-2.119274,23,8.297299
9.919393,26,8.333955
1.010105,23,8.366549
-2.338288,17,8.390787
-7.649665,13,8.40926
1.421664,11,8.424894
-1.517616,16,8.447878
3.941002,25,8.48327
-4.269662,30,8.525656
0.178054,11,8.541388
-1.428185,25,8.57664
-0.108049,23,8.609077
-3.330605,19,8.636106
-6.664328,20,8.66449
-0.938875,10,8.67878
-2.893847,24,8.712923
-7.883271,35,8.762667
-5.648122,23,8.795126
-6.231918,29,8.836018
-0.347507,19,8.862851
-4.509563,44,8.92499
-3.655705,8,8.936381
-2.39017,12,8.953257
-8.495906,20,8.981585
-11.568102,16,9.004208
1.56668,17,9.028487
-0.857244,9,9.04113
2.060782,23,9.073817
-2.701889,21,9.103742
0.058368,21,9.13324
-8.669924,18,9.158767
1.229118,14,9.178533
-2.422394,21,9.208442
-5.65789,9,9.221357
3.400837,32,9.266496
-3.150645,22,9.297735
-2.185707,20,9.326173
-2.61295,19,9.353045
-1.738921,17,9.377061
5.701972,22,9.408163
-1.906687,12,9.425055
-5.763111,8,9.436388
-4.413091,20,9.464771
1.978506,18,9.490199
1.84759,21,11.350274
-1.297821,10,11.36519
-3.76005,26,11.403545
6.757082,21,11.434875
-7.667366,23,11.469024
-0.794744,9,11.482435
-2.902902,25,11.519077
0.4247,10,11.533922
1.256622,18,11.560479
