# {"t_start": 1574895500.7457552, "env_id": "Swimmer-v2"} 
r,l,t
-79.197378,1000,3.024433
-68.424554,1000,4.323383
-45.189076,1000,7.513398
-66.195719,1000,8.811994
-68.786065,1000,11.979984
-38.288984,1000,13.279805
-54.512532,1000,16.447679
-41.45955,1000,17.748561
-14.60518,1000,20.902583
-31.35193,1000,22.006946
-37.385601,1000,24.721921
-4.604024,1000,25.78287
-9.822948,1000,28.500829
-1.951785,1000,29.560577
13.664646,1000,32.280019
25.874654,1000,33.343304
27.223403,1000,36.059667
27.080674,1000,37.13208
34.938917,1000,40.016836
27.025282,1000,41.268633
25.08755,1000,44.440127
26.286145,1000,45.770856
26.370782,1000,48.990073
25.361514,1000,50.325974
26.853676,1000,53.49319
-29.792407,1000,54.836725
23.14514,1000,57.983051
17.628337,1000,59.333755
18.787154,1000,62.474765
20.529059,1000,63.812469
30.465492,1000,66.94462
29.994108,1000,68.275837
32.3456,1000,71.405838
31.95845,1000,72.752051
35.058602,1000,75.886892
38.274586,1000,77.217064
33.977103,1000,80.34464
35.87485,1000,81.671704
38.987854,1000,84.78126
32.791902,1000,86.101497
36.45654,1000,89.213614
41.970403,1000,90.533403
35.554759,1000,91.853677
37.095504,1000,94.968568
33.548235,1000,96.297281
35.755902,1000,99.411726
35.944694,1000,100.746276
33.097455,1000,103.848316
30.751252,1000,105.17321
37.498013,1000,108.281876
37.886647,1000,109.60452
32.526671,1000,112.80471
28.619913,1000,114.126656
38.9824,1000,117.237558
29.167122,1000,118.548793
32.470574,1000,121.668825
33.645979,1000,122.974605
35.080657,1000,126.098591
31.430031,1000,127.399429
37.393955,1000,130.528527
32.338647,1000,131.824841
33.059182,1000,134.959726
35.261435,1000,136.252156
37.888949,1000,139.394489
33.770686,1000,140.688505
33.705185,1000,143.8571
37.713655,1000,145.151705
31.947749,1000,148.315272
31.733812,1000,149.61168
31.13891,1000,152.796881
33.008844,1000,154.101204
39.625951,1000,157.276966
35.36721,1000,158.574034
36.511764,1000,161.750305
27.708583,1000,163.042616
32.645618,1000,166.290159
34.13448,1000,167.586276
31.822812,1000,170.933729
33.365613,1000,172.239834
32.148455,1000,175.597828
36.855669,1000,176.904754
31.539241,1000,180.118218
34.817953,1000,181.416936
38.590737,1000,184.598557
34.253504,1000,185.902039
23.44651,1000,187.199071
35.549416,1000,190.588291
38.487238,1000,191.883806
24.423101,1000,195.208884
33.353562,1000,196.505828
35.560888,1000,199.790088
38.77775,1000,201.086675
36.215577,1000,204.355787
38.539937,1000,205.664202
35.925955,1000,208.836698
35.411793,1000,210.137877
31.996152,1000,213.312983
33.45309,1000,214.620216
35.987418,1000,217.789523
35.913789,1000,219.089885
36.151121,1000,222.258954
16.433911,1000,223.563286
35.992601,1000,226.740611
41.214189,1000,228.049612
34.854822,1000,231.204792
37.702821,1000,232.512689
35.42121,1000,235.705755
37.039291,1000,237.025543
31.145115,1000,240.174158
35.890404,1000,241.488734
33.515449,1000,244.632191
34.692712,1000,245.961693
31.890569,1000,249.106206
39.815859,1000,250.43733
37.861016,1000,253.567483
36.110088,1000,254.907788
35.668297,1000,258.027773
33.310484,1000,259.367775
38.88249,1000,262.49111
35.358464,1000,263.813516
37.483194,1000,266.940839
41.15764,1000,268.278383
34.833902,1000,271.414759
37.834493,1000,272.746398
36.836673,1000,275.904111
35.802937,1000,277.232061
35.03659,1000,280.370134
35.811593,1000,281.686581
37.379903,1000,283.022
35.886824,1000,286.137148
37.23477,1000,287.463612
36.06568,1000,290.583333
37.831393,1000,291.924726
40.11799,1000,295.04371
35.656565,1000,296.380265
34.900166,1000,299.50342
36.516249,1000,300.833872
35.174718,1000,303.964576
35.161347,1000,305.289872
37.915115,1000,308.433608
36.666939,1000,309.752562
35.767541,1000,312.936908
38.446102,1000,314.256514
36.494978,1000,317.42472
38.540792,1000,318.739369
38.387914,1000,321.886236
35.850104,1000,323.196166
39.465309,1000,326.352563
35.980965,1000,327.667988
35.983697,1000,330.845956
34.159441,1000,332.153008
40.432236,1000,335.327378
39.112017,1000,336.633483
34.748304,1000,339.823286
35.297283,1000,341.133008
37.35929,1000,344.308773
37.094446,1000,345.618615
36.580468,1000,348.820578
38.55964,1000,350.12917
35.668707,1000,353.306064
35.256621,1000,354.607079
33.743095,1000,357.776441
35.163359,1000,359.084527
30.898322,1000,362.262845
39.252461,1000,363.568571
36.19309,1000,366.747288
34.594778,1000,368.049782
38.96697,1000,371.245902
39.976947,1000,372.542951
34.523108,1000,375.740712
34.134616,1000,377.039889
38.260804,1000,378.338889
35.855879,1000,381.540606
38.625945,1000,382.850808
37.489029,1000,386.044257
39.085405,1000,387.35455
37.674778,1000,390.547106
40.385828,1000,391.852214
37.398908,1000,395.04544
40.559019,1000,396.35086
39.732653,1000,399.540488
33.124549,1000,400.846371
38.746471,1000,404.03884
39.406791,1000,405.345384
39.22032,1000,408.571374
40.886358,1000,409.899042
37.353895,1000,413.088607
33.584838,1000,414.394488
42.068416,1000,417.638665
36.956395,1000,418.949563
37.086844,1000,422.132581
39.413079,1000,423.449599
