# {"t_start": 1574930185.7478445, "env_id": "Walker2d-v2"} 
r,l,t
-0.855895,22,1.713002
1.224861,14,1.729898
-1.579218,17,1.750119
1.749598,15,1.767693
-1.668513,15,1.785367
3.135062,31,1.82155
-0.428675,8,1.830899
-1.963698,10,1.842711
-1.821724,10,1.854594
-5.066943,12,1.868768
6.306494,26,1.898999
-3.53983,14,1.915423
-6.408819,22,1.941043
-5.032552,21,1.965438
-0.008496,12,1.979603
-3.37571,8,1.989157
-2.222434,24,2.017032
-4.711456,24,2.045021
-5.756572,26,2.075664
3.89319,26,2.105953
-3.800248,16,2.124651
3.448445,31,2.160862
5.64185,16,2.179876
-7.375784,11,2.19302
-6.862799,21,2.21753
-5.22956,8,2.227079
-4.851744,15,2.244709
-1.945321,13,2.260014
-3.242722,8,2.269622
0.804022,12,2.283783
-11.512401,18,2.30473
-3.328957,10,2.316452
4.045583,19,2.338532
-4.30755,12,2.352582
5.27664,34,2.392272
9.83864,25,2.421521
-7.99894,14,2.437967
-4.923131,17,2.457748
-3.608911,12,2.471735
-6.722957,23,2.498516
-1.275874,10,2.510299
-5.195047,18,2.531429
-11.192737,14,2.547675
-2.041859,10,2.559472
0.042071,30,2.594329
-1.66521,10,2.605935
1.041362,13,2.621124
2.135095,20,2.644555
-6.318506,14,2.66104
-0.978349,11,2.673936
-4.340908,25,2.703307
-1.81012,18,2.724421
-6.337555,15,2.741926
-5.141794,15,2.759568
-2.147411,21,2.784145
1.353516,15,2.801738
0.351252,31,2.837864
-2.864933,11,2.850808
-3.26878,8,2.860276
-1.801043,14,2.876541
-1.071432,23,2.903483
-4.070898,17,2.923452
1.769352,14,2.939892
-3.259958,18,2.960967
-1.846026,13,2.976197
-2.737256,12,2.990425
-5.661592,20,3.013757
-2.643154,12,3.027934
-5.325281,18,3.048935
-7.50788,26,3.079227
-2.020766,20,3.102743
-3.339119,22,3.128361
-7.86773,20,3.15173
-3.518058,17,3.171631
-1.772927,12,3.185633
0.055649,14,3.201964
-3.862374,12,3.216077
-3.74606,11,3.229165
-6.739486,26,3.259566
3.992677,19,3.281727
2.93103,12,3.295786
0.227459,21,3.320385
-3.338011,9,3.331052
-4.01007,9,3.341749
-3.588436,22,3.367265
-6.316853,20,3.390604
-2.754173,11,3.403674
2.363312,14,3.420005
-0.108751,18,3.441165
-0.202204,12,3.455405
0.215913,13,3.470725
0.86758,18,3.491726
-3.231985,11,3.504561
-6.18735,23,3.531333
0.739336,13,3.546653
-5.474231,14,3.562927
-2.90387,19,3.585036
-5.190119,20,3.608345
-3.229321,14,3.624793
-5.510337,25,3.653931
-2.772813,17,3.673764
-2.287668,11,3.686804
-1.375466,9,3.69746
-3.482191,20,3.720806
-1.641879,8,3.730212
-0.579728,25,3.759284
3.997728,30,3.794023
-0.312121,14,3.810452
-5.520189,17,3.830347
-1.144713,9,3.840946
-9.47526,17,3.860725
-3.757992,23,3.887504
-3.03784,15,3.905088
-8.650844,20,3.928257
-1.629041,9,3.938856
-1.456177,20,3.962117
-2.599304,17,3.982042
0.940424,19,4.00427
-2.139146,15,4.021904
-0.706535,9,4.032419
-1.204486,9,4.042992
-1.16305,11,4.05589
-2.784223,23,4.082715
-0.288723,23,5.854194
2.765249,32,5.891519
-4.798873,31,5.927767
8.545693,34,5.967211
5.06046,44,6.018571
-5.225185,9,6.029201
1.687456,28,6.061678
5.974166,25,6.090662
21.14203,42,6.13905
4.974789,26,6.169384
6.784414,20,6.192885
2.893174,45,6.244967
8.519451,25,6.27443
0.603508,43,6.324326
-0.109455,28,6.357003
5.970832,19,6.379222
0.893337,32,6.416481
-2.490796,13,6.431695
12.668408,32,6.469076
1.289876,18,6.490057
1.358396,37,6.532971
-4.034668,26,6.563006
-0.043053,20,6.586301
5.219414,26,6.616404
-3.271848,41,6.663842
5.898966,58,6.731032
12.843326,43,6.781243
-0.045435,19,6.803411
0.081749,47,6.85785
1.322471,34,6.897303
13.802207,50,6.955577
10.83832,46,7.009078
2.15209,14,7.025462
0.026432,51,7.084524
-0.71624,41,7.132122
5.796786,15,7.149685
17.939159,40,7.196274
4.863544,23,7.223068
-1.248253,63,7.296384
1.166342,15,7.313991
-0.762552,11,7.326992
-1.750457,19,7.349246
6.751589,38,7.393453
15.783381,40,7.439941
-6.819651,67,7.517838
2.010086,18,7.538731
3.809819,55,7.602691
-3.188529,58,7.670064
1.361243,13,7.685347
14.456379,54,7.748216
-0.164001,24,7.776118
-9.188751,20,7.79928
2.05128,25,7.82845
5.59942,24,7.856383
1.667369,67,7.934231
2.396512,24,7.962311
-4.03262,35,8.002939
32.523816,117,8.138893
-4.013325,9,8.149599
-0.475087,10,8.161399
-24.369727,132,10.062611
2.925124,13,10.077805
22.647234,42,10.126505
28.034622,86,10.226197
2.156462,49,10.283
53.632448,86,10.382567
3.37487,23,10.409314
6.714007,29,10.442965
16.486582,47,10.497675
20.237493,53,10.559025
9.468398,31,10.595007
23.53286,54,10.657688
45.370512,69,10.737946
-9.499197,141,10.901158
8.510589,25,10.930223
13.863551,37,10.973207
1.723213,17,10.993013
-6.690714,93,11.100903
27.111517,82,11.195724
12.8074,62,11.267504
30.408909,67,11.345291
71.572369,101,11.462186
20.166268,40,11.508543
45.156123,63,11.581407
33.271086,53,11.642858
3.855006,19,11.664948
23.266768,37,11.707872
46.993305,62,11.779484
1.157951,22,11.80523
5.174285,21,11.829381
4.594812,16,11.847955
-30.565371,144,12.015479
-0.134231,10,12.027227
26.885821,106,12.150495
7.016233,35,12.191286
137.570199,209,14.148623
18.136716,168,14.343482
61.986599,103,14.462953
-21.644216,105,14.584814
3.888776,21,14.609125
-0.692428,13,14.624366
7.1381,122,14.76599
9.125438,22,14.791557
101.494528,125,14.936634
20.422245,43,14.98679
32.490615,53,15.048432
7.457697,27,15.079749
-1.114184,14,15.096076
21.394668,53,15.157527
23.165711,35,15.198253
11.827054,45,15.250342
-7.683778,125,15.394984
30.455496,59,15.46361
7.470774,20,15.48702
10.397011,38,15.530761
2.05267,17,15.550543
17.556924,38,15.594644
11.473444,41,15.642255
-1.435707,21,15.666636
36.846074,90,15.770749
3.722698,67,15.848461
43.12111,57,15.914474
1.996177,15,15.931979
8.187692,26,15.962157
12.890116,60,16.031514
12.393585,58,16.098723
31.296037,90,16.203082
45.617514,90,16.307503
11.387587,59,16.375853
169.843735,162,18.32937
2.874673,137,18.494433
15.362827,186,18.730938
4.094461,21,18.755999
-8.452364,116,18.895388
68.777168,256,19.220939
22.187465,50,19.282194
18.827093,118,19.434613
150.015592,206,19.697007
38.346792,47,19.757458
102.079941,136,19.933434
-19.13109,162,20.145645
188.434112,228,20.432422
24.98052,161,20.636735
35.566192,118,22.691448
26.786831,58,22.773856
55.065646,87,22.897091
25.267509,38,22.950799
25.511965,50,23.021746
135.357553,196,23.29984
31.716041,43,23.360531
160.147702,221,23.673228
208.026844,238,24.010057
2.825549,20,24.038412
-0.27322,12,24.056305
34.091456,58,24.142659
43.18301,95,24.284343
197.897542,316,24.750501
228.796508,189,25.029821
88.003606,90,25.163144
60.374741,72,25.269394
168.241868,136,25.47015
38.168953,52,25.547289
112.022698,125,27.634073
58.747375,70,27.733315
42.509347,111,27.890917
28.912202,109,28.045643
0.225898,12,28.062489
58.945552,90,28.189856
231.441288,277,28.582333
48.346979,95,28.716684
70.237438,76,28.824096
39.890785,118,28.998929
137.373605,140,29.206903
22.09155,34,29.257406
141.649698,142,29.467384
83.995919,141,29.675573
126.72519,148,29.893451
75.470991,101,30.042454
124.468074,151,30.266626
97.073736,183,32.443326
215.349884,168,32.681074
154.544759,114,32.842494
102.302938,126,33.020528
96.413876,180,33.276033
108.497342,177,33.528058
53.59617,112,33.690265
114.996125,154,33.92152
332.199132,361,34.455969
227.083132,166,34.702841
270.030513,268,35.102797
12.737048,38,35.158927
54.381665,77,35.271613
103.877784,174,37.43424
295.214619,199,37.718613
244.643316,165,37.953768
374.501405,283,38.358132
283.194959,210,38.667303
238.676171,152,38.893162
255.612539,162,39.132583
81.65921,142,39.342856
305.67949,230,39.683149
211.410898,134,39.88138
334.343901,224,40.213107
186.506443,126,42.296993
423.256475,363,42.812714
324.863221,284,43.215245
206.7358,138,43.418593
99.195415,157,43.650523
281.073258,190,43.930052
141.888922,224,44.260081
152.628799,221,44.585646
119.6883,170,44.834925
218.115651,135,45.033003
263.421296,218,47.238531
122.257374,110,47.394718
167.770341,129,47.577679
198.397302,142,47.779799
197.075208,137,47.974606
158.593052,129,48.162038
305.83175,199,48.456569
199.735693,144,48.668435
175.113769,136,48.867711
147.694712,119,49.043514
264.89762,181,49.308853
209.785452,148,49.526626
2.744883,12,49.544432
291.74071,216,49.862393
158.04244,118,50.031224
331.375392,226,52.157417
146.535028,134,52.347478
328.715897,247,52.698247
317.844621,230,53.030802
178.835087,132,53.22608
229.574865,157,53.456717
196.157014,130,53.648205
43.039046,112,53.814266
142.722368,104,53.967242
233.315674,192,54.250129
212.24954,142,54.458981
351.217783,252,54.826667
197.926283,117,56.805534
255.076031,176,57.055099
300.649204,210,57.35426
270.060866,180,57.610425
260.510672,189,57.886147
6.061591,16,57.909984
235.466432,161,58.148239
354.439098,231,58.487929
298.506467,230,58.82706
171.611336,153,59.053315
103.675493,100,59.200828
12.19233,24,59.236154
252.547978,176,59.494658
22.104738,96,61.452801
125.615286,100,61.59509
165.794739,111,61.752792
305.714836,220,62.065771
303.715548,227,62.38883
156.106166,111,62.547922
262.177652,193,62.83445
133.079836,97,62.977271
280.277993,182,63.245713
286.399682,194,63.53247
357.173099,266,63.92467
221.051433,155,64.153514
315.080703,204,66.258234
289.118011,200,66.543173
177.992171,137,66.737831
334.239916,238,67.078171
209.048647,141,67.280009
85.365004,147,67.498444
363.865557,223,67.846044
51.642187,115,68.016981
266.588414,185,68.291112
313.373031,181,68.558906
215.429745,179,68.826307
231.073863,146,69.043296
324.615296,231,71.203579
257.556152,176,71.455871
270.289771,204,71.752434
247.498341,195,72.031093
149.169186,223,72.360388
294.14938,194,72.649002
129.213678,99,72.795898
308.128725,174,73.054103
299.148869,199,73.349736
307.276735,197,73.642399
284.118338,230,73.984479
301.725942,198,76.094326
202.610901,147,76.304097
182.640276,115,76.468321
431.541207,281,76.869648
369.567281,229,77.207705
356.049021,218,77.532168
153.054982,125,77.718495
219.892775,145,77.933205
427.920242,306,78.387667
228.744705,162,78.62822
158.526138,231,80.781041
259.870373,162,81.012132
297.553977,188,81.280053
226.822728,121,81.452486
288.509767,172,81.697935
284.950768,192,81.986608
260.62715,160,82.225847
317.140682,163,82.467101
261.56804,159,82.703124
306.28164,195,82.993261
305.309941,237,83.345514
250.855365,184,83.618865
149.753957,226,85.762012
304.770419,171,86.005763
123.292665,171,86.25054
292.796705,155,86.471454
525.362386,352,86.991875
360.956861,232,87.3367
319.673925,198,87.631472
303.053574,201,87.928619
511.847148,351,88.449244
439.521551,309,90.704706
271.054154,136,90.897826
199.936035,121,91.069211
304.547068,203,91.357605
258.119922,153,91.584551
254.75161,318,92.060164
330.189831,212,92.382959
249.00433,164,92.627692
359.172027,247,92.995555
426.876399,227,93.329024
297.282561,182,95.407498
339.813009,212,95.707915
101.471966,178,95.961797
422.623031,233,96.297551
280.09463,172,96.552512
413.98529,243,96.913844
384.365601,264,97.306482
318.73809,187,97.584458
446.236223,304,98.037499
378.6989,260,100.213504
382.841029,258,100.580711
322.097723,194,100.857337
344.953096,188,101.130293
283.498165,164,101.386124
240.788191,176,101.646973
343.975381,203,101.945953
366.25782,208,102.252656
572.855261,437,102.899849
426.057566,313,105.133778
316.498257,177,105.384965
416.703842,227,105.707126
380.385749,201,105.999656
326.952525,182,106.267781
469.835843,345,106.777282
301.910855,167,107.023453
275.58339,173,107.27859
392.001688,258,107.657625
296.726334,188,109.709096
404.758483,261,110.080437
453.984074,257,110.44637
270.908965,149,110.659456
376.122461,199,110.954923
365.499374,210,111.264871
249.01206,163,111.504702
381.201284,203,111.803358
415.88761,267,112.198627
321.920023,198,112.489701
393.042495,221,114.611175
339.895779,207,114.905299
334.849714,180,115.161397
277.985193,162,115.391963
136.915448,206,115.696902
339.151253,214,116.013512
386.07468,221,116.338882
257.06851,143,116.548774
382.54945,236,116.896341
326.395993,185,117.169756
413.707279,246,119.32746
416.390937,226,119.650058
369.0856,228,119.975954
313.043603,195,120.254849
356.325065,240,120.612125
416.7006,263,121.004084
457.735101,264,121.397369
103.359245,172,121.654148
381.090021,215,121.974037
316.884192,222,124.108847
381.602328,207,124.402835
425.964574,254,124.764329
366.034911,202,125.05191
299.031165,189,125.329907
400.467828,219,125.653402
406.418897,240,126.00668
325.788813,172,126.25991
419.106813,225,126.591759
291.622047,168,126.839149
568.238457,400,129.214601
299.958766,155,129.434634
339.872671,195,129.711949
452.729772,300,130.148372
354.752721,215,130.465279
428.677886,229,130.803375
337.434166,199,131.095328
238.571663,314,131.560244
374.696577,275,133.763983
349.645725,189,134.033265
478.772505,301,134.463019
533.381688,383,135.019988
425.651581,242,135.376601
370.995467,220,135.700832
235.601065,134,135.898097
362.344686,204,136.198305
299.229567,140,136.403456
218.83727,127,138.370429
282.219203,159,138.595978
358.204634,213,138.900094
354.06708,218,139.210105
454.871389,300,139.639003
428.608524,226,139.971448
100.593157,162,140.210653
446.676256,204,140.509012
282.114218,175,140.767687
371.341988,215,141.085611
420.504558,245,143.250322
336.433719,187,143.517353
292.425837,165,143.757042
307.135706,185,144.022979
351.752264,182,144.283349
164.629711,231,144.623113
97.10345,173,144.883344
368.314395,182,145.154591
307.866794,181,145.423449
522.019075,317,145.895507
328.693314,175,147.963502
399.162328,222,148.279422
346.58428,173,148.525418
361.657365,215,148.833648
396.924508,228,149.160309
319.338945,183,149.428209
304.289198,170,149.682239
275.47352,153,149.909868
326.978521,154,150.141594
420.306869,276,150.549834
382.026531,235,152.680593
381.087021,214,152.985312
481.486038,225,153.305188
228.522019,304,153.74095
483.822433,313,154.195528
382.775229,200,154.490169
390.977835,208,154.796095
361.013136,187,155.071735
384.790296,212,155.380644
258.563177,152,157.413005
441.84301,257,157.779188
269.841561,138,157.975455
346.873511,204,158.266052
400.466376,240,158.608375
321.552362,202,158.895672
306.433299,164,159.137223
472.195822,268,159.534981
376.959329,237,159.886139
420.380352,216,160.206337
398.434935,207,162.307861
396.910787,175,162.554844
337.319059,165,162.788183
483.342538,286,163.193334
429.86829,197,163.472407
333.528146,185,163.734294
354.318416,199,164.025451
380.661723,218,164.349236
503.871545,265,164.736893
390.015422,232,165.076903
416.249216,235,167.438278
434.395825,242,167.781834
439.194872,277,168.175045
377.357225,212,168.475788
452.544902,289,168.890247
384.38281,202,169.186548
329.253917,156,169.414862
531.759788,366,169.951348
410.285303,210,172.112644
350.491014,159,172.336953
545.714323,267,172.715673
382.397632,221,173.02884
265.472988,148,173.238006
158.335195,206,173.531775
381.493822,192,173.809725
346.323366,186,174.081537
351.18731,207,174.383145
265.973868,144,174.595787
336.397674,185,174.867669
415.138865,216,177.025656
320.043388,168,177.263403
357.407105,195,177.540197
339.060058,191,177.810758
240.167469,141,178.010777
516.674114,344,178.501186
355.027336,187,178.781383
430.197978,235,179.157317
424.2104,224,179.488711
420.961505,206,181.622649
516.702342,284,182.025579
451.147662,245,182.373499
517.788665,305,182.807255
113.997064,175,183.056369
471.588139,246,183.408773
550.255907,310,183.869227
437.95792,334,184.363187
332.210981,187,186.476753
412.3327,237,186.812818
496.315071,347,187.306255
361.899028,194,187.581504
288.646937,145,187.786664
356.995592,207,188.080743
363.500219,204,188.379877
441.526393,287,188.803169
326.279142,188,189.079756
373.468345,204,191.213276
314.58334,153,191.429294
449.073124,211,191.728514
464.873997,265,192.105608
413.079784,200,192.388996
358.984457,207,192.683734
520.713899,357,193.200959
390.03236,202,193.498246
339.998853,202,193.796339
132.404892,232,195.971104
412.484501,223,196.286589
388.480061,190,196.554378
295.572121,164,196.786072
353.874535,213,197.088249
340.644569,151,197.300807
397.155305,195,197.576743
511.569124,344,198.073946
332.336493,203,198.370758
329.362235,203,198.66591
460.115654,258,200.87701
588.413797,320,201.331163
388.304754,191,201.601197
368.81432,185,201.862912
418.443484,229,202.187876
357.584042,207,202.481476
426.221967,219,202.80033
401.721573,242,203.155396
367.204785,183,203.424244
297.336901,166,205.478868
338.807294,163,205.714566
343.045672,159,205.940336
417.681524,234,206.27255
404.086708,206,206.565177
327.934923,204,206.854183
516.435429,318,207.306377
641.77623,341,207.806427
397.955182,203,208.104901
796.309296,547,210.84679
342.793142,150,211.05881
375.983017,227,211.380732
490.351888,294,211.797688
426.216216,226,212.119016
414.805403,208,212.416947
375.949679,220,212.741259
373.361205,167,212.986983
483.057821,257,215.210011
478.66658,273,215.597268
422.414596,214,215.905348
364.51923,203,216.195368
341.89143,171,216.437824
432.187156,219,216.748673
383.307209,227,217.070317
345.595638,167,217.314621
552.297674,385,217.885653
405.054746,213,220.034786
452.694852,292,220.449507
407.148477,222,220.764131
391.815206,202,221.050047
602.421249,411,221.633661
281.575162,140,221.831867
351.888352,188,222.105616
500.214855,272,222.508053
406.713894,192,222.791095
369.174111,185,224.993885
459.590977,224,225.311454
495.469389,307,225.74722
453.905643,274,226.139329
293.045583,129,226.32389
360.929959,186,226.588057
347.810526,166,226.823314
507.993558,251,227.200207
298.138522,144,227.439856
466.7532,200,227.772767
469.389438,237,229.972528
361.820399,202,230.259843
418.864109,227,230.583195
364.386641,196,230.861913
412.894912,209,231.159488
377.928559,197,231.440529
450.13035,259,231.810874
265.714037,120,231.988549
426.437894,206,232.292067
422.865867,242,234.523206
367.831467,188,234.789937
422.860341,207,235.083844
354.927571,153,235.300556
145.942291,217,235.609391
400.559956,232,235.93934
380.836308,171,236.181566
372.832868,180,236.440363
453.48149,222,236.76257
331.93277,160,236.998963
248.599269,132,237.193666
536.221376,304,239.491325
315.849422,172,239.735444
470.207845,276,240.128597
383.744645,221,240.443041
445.14101,233,240.773029
479.804494,249,241.126347
359.866944,177,241.377628
432.582307,199,241.669231
317.074782,159,241.904018
454.543826,219,242.227173
519.75149,285,244.502073
326.226021,152,244.717993
414.850081,200,245.002211
434.291264,194,245.27706
317.046732,170,245.518674
393.163399,184,245.779122
431.75167,223,246.095887
346.080545,166,246.33281
356.066609,164,246.573834
383.587167,180,246.846673
361.941375,173,249.00315
462.817227,216,249.310197
409.012262,187,249.575562
325.17221,161,249.804247
502.010339,240,250.146575
416.648518,212,250.448499
393.267823,175,250.697501
809.672228,550,251.492278
175.725427,246,251.854913
409.560275,203,254.207073
358.81047,177,254.458161
421.182632,201,254.743438
464.485847,234,255.075528
390.115858,203,255.363961
406.81701,185,255.626841
484.645449,231,255.955425
356.272523,167,256.192486
325.492017,162,256.430425
276.328355,140,256.646429
328.65359,135,256.844453
379.554084,179,258.983786
307.991529,164,259.216336
465.240696,227,259.538902
388.880612,204,259.829094
102.407043,183,260.089451
429.559715,203,260.37763
329.25968,148,260.587093
404.77555,204,260.876827
484.536687,257,261.248378
444.200606,229,261.584556
393.757804,192,264.193634
515.106094,315,264.845646
