# {"t_start": 1574907664.603033, "env_id": "Swimmer-v2"} 
r,l,t
-4.754163,1000,3.072168
-1.915242,1000,4.411208
26.694555,1000,8.040942
14.290503,1000,9.381929
-13.078975,1000,12.945098
24.336781,1000,14.278371
14.45046,1000,17.851252
22.769864,1000,19.191334
25.446401,1000,22.563319
33.472665,1000,23.649797
31.011835,1000,26.684712
15.954145,1000,27.765528
23.189782,1000,30.87974
25.751753,1000,32.029513
20.670759,1000,35.437216
25.454723,1000,36.780365
17.45947,1000,40.290687
25.061097,1000,41.635257
22.19211,1000,45.121392
23.163879,1000,46.462162
28.518286,1000,49.941137
24.315432,1000,51.279911
28.762553,1000,54.750986
33.90507,1000,56.096414
35.498718,1000,59.56693
33.163373,1000,60.917844
33.356935,1000,64.401282
33.755671,1000,65.74914
28.152066,1000,69.236178
31.145447,1000,70.589213
34.308895,1000,74.071432
36.456339,1000,75.417335
36.117015,1000,78.90211
37.413327,1000,80.247889
38.106812,1000,83.700866
36.113679,1000,85.045609
35.192345,1000,88.492387
34.159495,1000,89.841136
31.817171,1000,93.298779
37.823408,1000,94.643641
34.707488,1000,98.119449
34.362324,1000,99.465787
34.274271,1000,100.785889
38.047225,1000,104.314805
35.426288,1000,105.646526
35.326801,1000,109.144588
37.296623,1000,110.485817
37.36795,1000,113.978077
30.239766,1000,115.293237
34.219688,1000,118.921467
35.416564,1000,120.249978
33.706814,1000,123.759163
33.434043,1000,125.070487
37.240741,1000,128.587023
31.391318,1000,129.901489
33.00329,1000,133.425973
35.862075,1000,134.737022
35.044483,1000,138.247831
34.656798,1000,139.557876
34.217641,1000,143.070285
33.725818,1000,144.380616
33.072133,1000,147.915646
36.803599,1000,149.225981
36.818141,1000,152.750931
34.149539,1000,154.08627
33.294412,1000,157.603408
35.06243,1000,158.936529
36.501684,1000,162.444882
34.442623,1000,163.773676
33.909672,1000,167.275831
37.00638,1000,168.604299
35.435956,1000,172.121464
37.996715,1000,173.452872
39.506972,1000,176.954723
38.185357,1000,178.287254
36.949652,1000,181.805236
37.341859,1000,183.119601
33.970607,1000,186.63319
36.115155,1000,187.967952
34.921731,1000,191.492977
35.879951,1000,192.82965
35.201379,1000,196.335106
35.606117,1000,197.666359
37.407498,1000,201.175142
