# {"t_start": 1574929805.8144362, "env_id": "Walker2d-v2"} 
r,l,t
-0.855895,22,1.752327
1.224861,14,1.773046
-1.579218,17,1.798389
1.749598,15,1.820492
-1.668513,15,1.842988
3.135062,31,1.889342
-0.428675,8,1.901045
-1.963698,10,1.915941
-1.821724,10,1.930736
-5.066943,12,1.948735
6.306494,26,1.986803
-3.53983,14,2.007738
-6.408819,22,2.040364
-5.032552,21,2.071357
-0.008496,12,2.089326
-3.37571,8,2.10137
-2.222434,24,2.136624
-4.711456,24,2.172059
-5.756572,26,2.210263
3.89319,26,2.247785
-3.800248,16,2.271019
3.448445,31,2.316505
5.64185,16,2.340246
-7.375784,11,2.356773
-6.862799,21,2.387733
-5.22956,8,2.399823
-4.851744,15,2.421924
-1.945321,13,2.441181
-3.242722,8,2.45334
0.804022,12,2.471019
-11.512401,18,2.497257
-3.328957,10,2.5118
4.045583,19,2.539551
-4.30755,12,2.557408
5.27664,34,2.607751
9.83864,25,2.644983
-7.99894,14,2.665917
-4.923131,17,2.691191
-3.608911,12,2.708929
-6.722957,23,2.742863
-1.275874,10,2.75751
-5.195047,18,2.784152
-11.192737,14,2.804625
-2.041859,10,2.819545
0.042071,30,2.863064
-1.66521,10,2.877956
1.041362,13,2.897164
2.135095,20,2.926892
-6.318506,14,2.947617
-0.978349,11,2.96373
-4.340908,25,3.000514
-1.81012,18,3.027053
-6.337555,15,3.048782
-5.141794,15,3.07105
-2.147411,21,3.101976
1.353516,15,3.124198
0.351252,31,3.169998
-2.864933,11,3.186277
-3.26878,8,3.198323
-1.801043,14,3.21898
-1.071432,23,3.253088
-4.070898,17,3.278238
1.769352,14,3.298941
-3.259958,18,3.325295
-1.846026,13,3.344372
-2.737256,12,3.362497
-5.661592,20,3.392098
-2.643154,12,3.410121
-5.325281,18,3.43653
-7.50788,26,3.474735
-2.020766,20,3.504201
-3.339119,22,3.53665
-7.86773,20,3.566089
-3.518058,17,3.591458
-1.772927,12,3.609042
0.055649,14,3.629743
-3.862374,12,3.647715
-3.74606,11,3.663971
-6.739486,26,3.702633
3.992677,19,3.73069
2.93103,12,3.748467
0.227459,21,3.779375
-3.338011,9,3.792744
-4.01007,9,3.806255
-3.588436,22,3.837689
-6.316853,20,3.866048
-2.754173,11,3.881932
2.363312,14,3.901864
-0.108751,18,3.927313
-0.202204,12,3.94439
0.215913,13,3.962917
0.86758,18,3.988426
-3.231985,11,4.004204
-6.18735,23,4.036669
0.739336,13,4.055224
