# {"t_start": 1574914591.0475328, "env_id": "Swimmer-v2"} 
r,l,t
-79.197378,1000,3.020381
-68.424554,1000,4.353349
54.892601,1000,7.588024
13.114743,1000,8.915493
26.188086,1000,12.165817
18.82436,1000,13.498238
28.349451,1000,16.728065
26.578394,1000,18.054651
21.051668,1000,21.312418
2.720963,1000,22.666451
31.920016,1000,25.923672
33.467852,1000,27.240068
13.708757,1000,30.462888
-37.144666,1000,31.771609
12.632246,1000,35.028891
10.348767,1000,36.339292
17.058671,1000,39.579556
21.56351,1000,40.889733
2.116286,1000,44.148008
4.683732,1000,45.475114
25.138545,1000,48.76462
27.325749,1000,50.081056
17.431504,1000,53.397322
12.717211,1000,54.724643
